year,date_start
1958,1958-09-30
1959,1959-09-14
1960,1960-09-20
1961,1961-09-23
1962,1962-10-06
1963,1963-10-05
1964,1964-09-19
1965,1965-10-09
1966,1966-09-26
1967,1967-09-26
1968,1968-09-29
1969,1969-09-30
1970,1970-09-29
1971,1971-09-18
1972,1972-10-04
1973,1973-09-24
1974,1974-09-28
1975,1975-09-25
1976,1976-09-05
1977,1977-10-04
1978,1978-09-14
1979,1979-09-25
1980,1980-10-02
1981,1981-09-19
1982,1982-09-10
1983,1983-09-25
1984,1984-10-01
1985,1985-09-05
1986,1986-09-22
1987,1987-09-25
1988,1988-09-15
1989,1989-09-12
1990,1990-09-08
1991,1991-09-05
1992,1992-09-16
1993,1995-09-24
1994,1994-09-20
1995,1995-09-15
1996,1996-09-08
1997,1997-08-30
1998,1998-09-02
1999,1999-09-07
2000,2000-08-28
2001,2001-09-06
2002,2002-09-07
2003,2003-08-14
2004,2004-09-11
2005,2005-09-05
2006,2006-09-05
2007,2007-08-25
2008,2008-09-15
2009,2009-08-27
2010,2010-09-13
2011,2011-08-24
2012,2012-09-07
2013,2013-09-24
2014,2014-09-08
2015,2015-08-24
2016,2016-09-17
2017,2017-08-27
2018,2018-08-27
2019,2019-09-09
2020,2020-08-20
2021,2021-09-13
2022,2022-08-17
2023,2023-09-01